ID,y
1,82.94992
2,97.609726
3,83.4696
4,77.03677
5,112.56343
8,91.59724
10,100.344284
11,94.56687
12,116.93236
14,95.91573
15,115.926254
16,105.383255
17,100.947876
19,90.90499
20,100.74557
21,105.03573
22,118.18179
23,100.947876
26,96.10637
28,95.95282
29,100.947876
33,100.947876
35,94.20756
41,100.947876
42,94.62742
43,112.89187
45,101.84263
46,101.27298
51,94.44629
53,85.9726
55,109.16097
56,105.16055
57,109.95004
58,99.14944
59,103.20192
63,105.408325
64,94.66141
65,101.43369
69,97.23294
71,99.1821
72,104.59455
73,95.64404
76,103.868454
77,96.81286
78,115.99696
82,94.54024
83,101.43369
84,100.7787
85,106.75285
87,110.72375
88,100.947876
89,110.19715
91,97.95845
93,102.6276
94,104.32881
95,99.6672
96,111.31656
97,95.740364
98,109.463844
99,99.213554
101,106.03722
103,110.19715
104,93.69063
105,110.374176
110,97.385544
111,102.86187
113,103.97812
114,96.64729
115,111.34898
117,110.19715
120,96.062515
121,113.23015
122,94.402885
123,105.785545
126,108.409225
132,110.008545
135,110.683556
137,102.81618
138,94.99316
140,104.122536
142,108.22281
144,110.84148
148,91.60932
149,111.36015
155,100.962685
156,112.09776
157,95.740364
162,114.14414
163,95.79493
167,94.381546
172,112.89187
179,106.72992
180,94.13413
181,108.19089
182,97.62889
183,110.19715
185,110.19715
187,107.12909
188,93.19969
189,94.75595
191,93.915726
192,103.95497
193,93.86912
194,107.887566
195,94.64937
196,99.50603
198,109.03369
199,111.3841
201,100.46421
204,95.11412
205,106.18698
206,106.53443
210,97.14122
211,106.03722
216,111.92488
219,116.93236
220,92.30183
221,109.637634
226,108.19089
227,93.43966
228,110.34438
230,109.65541
231,95.740364
235,118.18179
236,98.6764
238,111.69439
242,104.50242
243,94.24552
244,80.12408
245,110.68728
247,117.984085
248,94.843735
249,91.27431
250,113.59068
251,98.6764
253,118.18179
254,95.47551
256,95.34352
257,92.062614
258,109.24376
259,98.17106
262,91.736244
266,101.75161
267,112.86485
272,104.11685
273,110.19715
275,94.29599
276,108.56972
279,93.39685
280,101.43369
283,92.97723
285,109.968
288,110.19715
289,108.69114
290,101.28951
291,95.27923
292,105.71306
293,105.972115
296,93.73753
297,105.59719
298,115.99696
299,94.179955
304,91.92967
305,88.12145
306,95.13494
307,109.18289
311,103.97976
313,109.06075
314,92.49408
316,109.308556
324,110.70644
327,99.34255
329,92.655685
330,109.63782
337,97.625145
338,94.95223
339,99.503235
340,93.78107
343,93.72307
345,115.926254
346,96.72209
347,112.33778
349,110.20883
350,94.873276
352,103.196785
353,92.94508
354,91.319214
357,96.06428
358,107.210625
362,108.3979
364,104.260544
365,101.77967
366,101.98498
367,106.52662
368,93.854744
370,80.708305
373,99.05511
377,93.99901
378,106.66966
382,103.868454
384,110.364265
390,97.01402
392,111.828186
393,112.11844
395,94.4138
396,97.09718
399,80.639275
406,109.06075
408,109.06075
409,95.43646
410,80.54754
412,112.48797
413,89.75743
419,99.44573
420,105.34816
421,90.03979
430,105.43625
434,93.5363
436,94.833374
437,102.77093
438,90.93297
439,110.79857
440,101.542076
443,100.89418
446,95.07612
448,93.29461
452,94.49148
453,108.967354
457,99.514915
458,94.77725
459,114.151306
460,103.95821
462,104.410194
464,101.47244
465,116.93236
467,112.60559
471,106.632034
472,77.14005
473,104.6472
475,95.78169
480,102.43571
488,105.76371
490,109.18289
491,104.681625
492,83.60789
493,97.9699
497,93.961975
498,106.81569
499,94.288895
500,101.28892
501,94.852066
502,110.96874
506,89.51726
510,107.86299
511,90.87995
512,93.4541
516,93.060074
518,97.33652
519,112.33778
521,91.49716
522,111.66027
526,114.27713
529,107.11137
532,111.86489
533,94.71765
536,110.51606
537,94.88009
539,94.92343
540,106.300835
541,96.729195
543,94.4007
546,109.51903
547,98.97271
548,91.846664
551,94.551025
552,107.61808
556,101.191765
557,101.66739
558,106.52662
559,94.40834
560,105.26099
562,104.97137
566,98.33783
570,106.81569
571,102.77093
572,101.43369
573,94.02429
575,116.93236
576,108.743935
577,95.3129
579,90.802734
580,112.13238
581,109.50037
589,109.18289
591,102.05845
593,94.85802
594,105.66113
595,94.69469
598,95.26254
602,106.70991
604,111.756805
606,107.79888
608,102.00715
609,106.03722
610,96.57902
616,108.04921
617,94.46492
618,107.06853
620,106.50816
